error_id,rule_id,status,domain,USUBJID,row_index,primitive,variables_modified,re_derived,failure_reason
INJ-SD1206-EX-001,SD1206,injected,EX,VISION-NSCLC-SITE002-0032,95,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-03-12"", ""injected"": ""2024-07-16""}}",,
INJ-SD1206-EX-002,SD1206,injected,EX,VISION-NSCLC-SITE002-0134,142,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-04-16"", ""injected"": ""2024-07-27""}}",,
INJ-SD1206-EX-003,SD1206,injected,EX,VISION-NSCLC-SITE003-0048,167,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-04-17"", ""injected"": ""2024-05-25""}}",,
INJ-SD1206-EX-004,SD1206,injected,EX,VISION-NSCLC-SITE001-0103,45,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-04-24"", ""injected"": ""2024-06-08""}}",,
INJ-SD1206-EX-005,SD1206,injected,EX,VISION-NSCLC-SITE001-0046,19,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-07-08"", ""injected"": ""2024-07-30""}}",,
INJ-SD1206-EX-006,SD1206,injected,EX,VISION-NSCLC-SITE002-0035,96,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-04-26"", ""injected"": ""2024-05-22""}}",,
INJ-SD1206-EX-007,SD1206,injected,EX,VISION-NSCLC-SITE001-0052,21,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-03-02"", ""injected"": ""2024-08-23""}}",,
INJ-SD1206-EX-008,SD1206,injected,EX,VISION-NSCLC-SITE003-0081,189,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-03-31"", ""injected"": ""2024-07-15""}}",,
INJ-SD1206-EX-009,SD1206,injected,EX,VISION-NSCLC-SITE003-0144,221,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-04-12"", ""injected"": ""2024-04-20""}}",,
INJ-SD1206-EX-010,SD1206,injected,EX,VISION-NSCLC-SITE003-0009,155,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-07-14"", ""injected"": ""2024-07-21""}}",,
INJ-SD1206-EX-011,SD1206,injected,EX,VISION-NSCLC-SITE002-0083,118,invert_date_order,"{""EXSTDTC"": {""original"": ""2024-01-28"", ""injected"": ""2024-03-28""}}",,
INJ-SD0006-LB-001-row8,SD0006,injected,LB,VISION-NSCLC-SITE001-0085,1190,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row9,SD0006,injected,LB,VISION-NSCLC-SITE001-0085,1191,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row10,SD0006,injected,LB,VISION-NSCLC-SITE001-0085,1192,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row11,SD0006,injected,LB,VISION-NSCLC-SITE001-0085,1193,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row12,SD0006,injected,LB,VISION-NSCLC-SITE001-0085,1194,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row13,SD0006,injected,LB,VISION-NSCLC-SITE001-0085,1195,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-001-row14,SD0006,injected,LB,VISION-NSCLC-SITE001-0085,1196,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row8,SD0006,injected,LB,VISION-NSCLC-SITE003-0114,6076,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row9,SD0006,injected,LB,VISION-NSCLC-SITE003-0114,6077,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row10,SD0006,injected,LB,VISION-NSCLC-SITE003-0114,6078,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row11,SD0006,injected,LB,VISION-NSCLC-SITE003-0114,6079,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row12,SD0006,injected,LB,VISION-NSCLC-SITE003-0114,6080,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row13,SD0006,injected,LB,VISION-NSCLC-SITE003-0114,6081,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-002-row14,SD0006,injected,LB,VISION-NSCLC-SITE003-0114,6082,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-003-row8,SD0006,injected,LB,VISION-NSCLC-SITE002-0068,3108,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-003-row9,SD0006,injected,LB,VISION-NSCLC-SITE002-0068,3109,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-003-row10,SD0006,injected,LB,VISION-NSCLC-SITE002-0068,3110,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-003-row11,SD0006,injected,LB,VISION-NSCLC-SITE002-0068,3111,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-003-row12,SD0006,injected,LB,VISION-NSCLC-SITE002-0068,3112,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-003-row13,SD0006,injected,LB,VISION-NSCLC-SITE002-0068,3113,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-003-row14,SD0006,injected,LB,VISION-NSCLC-SITE002-0068,3114,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row1,SD0006,injected,LB,VISION-NSCLC-SITE002-0140,4228,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row9,SD0006,injected,LB,VISION-NSCLC-SITE002-0140,4236,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row10,SD0006,injected,LB,VISION-NSCLC-SITE002-0140,4237,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row11,SD0006,injected,LB,VISION-NSCLC-SITE002-0140,4238,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row12,SD0006,injected,LB,VISION-NSCLC-SITE002-0140,4239,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row13,SD0006,injected,LB,VISION-NSCLC-SITE002-0140,4240,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-004-row14,SD0006,injected,LB,VISION-NSCLC-SITE002-0140,4241,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row8,SD0006,injected,LB,VISION-NSCLC-SITE003-0042,4984,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row9,SD0006,injected,LB,VISION-NSCLC-SITE003-0042,4985,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row10,SD0006,injected,LB,VISION-NSCLC-SITE003-0042,4986,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row11,SD0006,injected,LB,VISION-NSCLC-SITE003-0042,4987,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row12,SD0006,injected,LB,VISION-NSCLC-SITE003-0042,4988,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row13,SD0006,injected,LB,VISION-NSCLC-SITE003-0042,4989,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-005-row14,SD0006,injected,LB,VISION-NSCLC-SITE003-0042,4990,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row5,SD0006,injected,LB,VISION-NSCLC-SITE002-0134,4127,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row8,SD0006,injected,LB,VISION-NSCLC-SITE002-0134,4130,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row9,SD0006,injected,LB,VISION-NSCLC-SITE002-0134,4131,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row10,SD0006,injected,LB,VISION-NSCLC-SITE002-0134,4132,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row11,SD0006,injected,LB,VISION-NSCLC-SITE002-0134,4133,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row13,SD0006,injected,LB,VISION-NSCLC-SITE002-0134,4135,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-006-row14,SD0006,injected,LB,VISION-NSCLC-SITE002-0134,4136,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row8,SD0006,injected,LB,VISION-NSCLC-SITE001-0070,980,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row9,SD0006,injected,LB,VISION-NSCLC-SITE001-0070,981,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row10,SD0006,injected,LB,VISION-NSCLC-SITE001-0070,982,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row11,SD0006,injected,LB,VISION-NSCLC-SITE001-0070,983,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row12,SD0006,injected,LB,VISION-NSCLC-SITE001-0070,984,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row13,SD0006,injected,LB,VISION-NSCLC-SITE001-0070,985,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-007-row14,SD0006,injected,LB,VISION-NSCLC-SITE001-0070,986,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-008-row6,SD0006,injected,LB,VISION-NSCLC-SITE003-0003,4471,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-008-row8,SD0006,injected,LB,VISION-NSCLC-SITE003-0003,4473,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-008-row9,SD0006,injected,LB,VISION-NSCLC-SITE003-0003,4474,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-008-row10,SD0006,injected,LB,VISION-NSCLC-SITE003-0003,4475,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-008-row11,SD0006,injected,LB,VISION-NSCLC-SITE003-0003,4476,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-008-row12,SD0006,injected,LB,VISION-NSCLC-SITE003-0003,4477,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-008-row14,SD0006,injected,LB,VISION-NSCLC-SITE003-0003,4479,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-009-row8,SD0006,injected,LB,VISION-NSCLC-SITE003-0039,4928,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-009-row9,SD0006,injected,LB,VISION-NSCLC-SITE003-0039,4929,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-009-row10,SD0006,injected,LB,VISION-NSCLC-SITE003-0039,4930,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-009-row11,SD0006,injected,LB,VISION-NSCLC-SITE003-0039,4931,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-009-row12,SD0006,injected,LB,VISION-NSCLC-SITE003-0039,4932,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-009-row13,SD0006,injected,LB,VISION-NSCLC-SITE003-0039,4933,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-009-row14,SD0006,injected,LB,VISION-NSCLC-SITE003-0039,4934,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-010-row8,SD0006,injected,LB,VISION-NSCLC-SITE002-0020,2464,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-010-row9,SD0006,injected,LB,VISION-NSCLC-SITE002-0020,2465,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-010-row10,SD0006,injected,LB,VISION-NSCLC-SITE002-0020,2466,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-010-row11,SD0006,injected,LB,VISION-NSCLC-SITE002-0020,2467,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-010-row12,SD0006,injected,LB,VISION-NSCLC-SITE002-0020,2468,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-010-row13,SD0006,injected,LB,VISION-NSCLC-SITE002-0020,2469,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-010-row14,SD0006,injected,LB,VISION-NSCLC-SITE002-0020,2470,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-011-row8,SD0006,injected,LB,VISION-NSCLC-SITE001-0076,1092,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-011-row9,SD0006,injected,LB,VISION-NSCLC-SITE001-0076,1093,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-011-row10,SD0006,injected,LB,VISION-NSCLC-SITE001-0076,1094,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-011-row11,SD0006,injected,LB,VISION-NSCLC-SITE001-0076,1095,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-011-row12,SD0006,injected,LB,VISION-NSCLC-SITE001-0076,1096,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-011-row13,SD0006,injected,LB,VISION-NSCLC-SITE001-0076,1097,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-011-row14,SD0006,injected,LB,VISION-NSCLC-SITE001-0076,1098,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-012-row8,SD0006,injected,LB,VISION-NSCLC-SITE002-0047,2884,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-012-row9,SD0006,injected,LB,VISION-NSCLC-SITE002-0047,2885,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-012-row10,SD0006,injected,LB,VISION-NSCLC-SITE002-0047,2886,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-012-row11,SD0006,injected,LB,VISION-NSCLC-SITE002-0047,2887,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-012-row12,SD0006,injected,LB,VISION-NSCLC-SITE002-0047,2888,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-012-row13,SD0006,injected,LB,VISION-NSCLC-SITE002-0047,2889,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
INJ-SD0006-LB-012-row14,SD0006,injected,LB,VISION-NSCLC-SITE002-0047,2890,blank_field,"{""LBBLFL"": {""original"": ""Y"", ""injected"": """"}}",,
