error_id,rule_id,status,domain,USUBJID,row_index,primitive,variables_modified,re_derived,failure_reason
INJ-SD2213-TS-001,SD2213,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""TITLE"", ""injected"": ""(row deleted)""}}",,
INJ-SD2214-TS-001,SD2214,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""TPHASE"", ""injected"": ""(row deleted)""}}",,
INJ-SD2215-TS-001,SD2215,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""TTYPE"", ""injected"": ""(row deleted)""}}",,
INJ-SD2217-TS-001,SD2217,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""OBJPRIM"", ""injected"": ""(row deleted)""}}",,
INJ-SD2218-TS-001,SD2218,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""SPONSOR"", ""injected"": ""(row deleted)""}}",,
INJ-SD2221-TS-001,SD2221,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""REGID"", ""injected"": ""(row deleted)""}}",,
INJ-SD2222-TS-001,SD2222,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""OUTMSPRI"", ""injected"": ""(row deleted)""}}",,
INJ-SD2224-TS-001,SD2224,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""FCNTRY"", ""injected"": ""(row deleted)""}}",,
INJ-SD2225-TS-001,SD2225,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""ADAPT"", ""injected"": ""(row deleted)""}}",,
INJ-SD2226-TS-001,SD2226,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""DCUTDTC"", ""injected"": ""(row deleted)""}}",,
INJ-SD2227-TS-001,SD2227,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""DCUTDESC"", ""injected"": ""(row deleted)""}}",,
INJ-SD2229-TS-001,SD2229,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""NARMS"", ""injected"": ""(row deleted)""}}",,
INJ-SD2230-TS-001,SD2230,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""STYPE"", ""injected"": ""(row deleted)""}}",,
INJ-SD2232-TS-001,SD2232,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""SSTDTC"", ""injected"": ""(row deleted)""}}",,
INJ-SD2233-TS-001,SD2233,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""SENDTC"", ""injected"": ""(row deleted)""}}",,
